model_variant,code,UR_RMSE_pp_mean,UR_RMSE_pp_sd,UR_MAE_pp_mean,UR_corr_mean,UR_bias_pp_mean,LFPR_RMSE_pp_mean,LFPR_bias_pp_mean,EPOP_RMSE_pp_mean,EPOP_bias_pp_mean,UR_seed_CV_pct
Full heterogeneous ABM,M0_Full,0.2211,0.0068,0.1629,0.7896,-0.0425,2.2743,2.2537,2.2141,2.1941,3.08
Homogeneous ABM,D1_Homogeneous,0.5527,0.0072,0.4095,0.8052,-0.3938,8.8471,8.8367,8.7756,8.772,1.3
Simplified ABM,D2_Simplified,0.5607,0.0087,0.4127,0.8182,-0.3975,10.993,10.9868,10.8521,10.8496,1.56
Labor-only ABM,D3_LaborOnly,0.4112,0.0382,0.3716,0.7736,0.3273,1.1942,1.141,0.9485,0.8889,9.28
