window,period,V_Simplified_RMSE_pp,V_Simplified_sd_pp,V_LaborOnly_RMSE_pp,V_LaborOnly_sd_pp,V_Homogeneous_RMSE_pp,V_Homogeneous_sd_pp,V_Full_RMSE_pp,V_Full_sd_pp
pre_covid_stable,2018-01..2019-12,0.5784,0.02,1.0467,0.0347,0.5596,0.0373,0.6092,0.0504
covid_crisis_mar,2020-03..2021-12,2.6077,0.0312,2.6013,0.0072,2.7796,0.0239,2.974,0.0235
post_covid_norm,2022-01..2026-02,0.5616,0.0035,0.3626,0.0342,0.5448,0.0078,0.2731,0.0233
full_post_2018,2018-01..2026-02,1.3426,0.0134,1.3837,0.0074,1.4144,0.0122,1.4674,0.0137
train,2004-01..2017-12,1.6233,0.0417,1.3979,0.0296,1.3089,0.0317,1.2575,0.0292
