candidate,OOS_UR_RMSE_pp,OOS_UR_RMSE_sd_pp,OOS_UR_corr,VAL_UR_RMSE_pp,OOS_LFPR_RMSE_pp,OOS_EPOP_RMSE_pp,OOS_UR_CV_pct
conservative,0.24194871509467436,0.003993166180451073,0.7612668107463436,2.025832886432925,1.548711577819233,1.4604252077582902,1.6504184280906595
baseline,0.221082736256607,0.00680759714579059,0.7895567021610294,2.001594465762926,2.274301519131081,2.2140682065295563,3.0792079296002233
aggressive,0.221082736256607,0.00680759714579059,0.7895567021610294,2.001594465762926,2.274301519131081,2.2140682065295563,3.0792079296002233
