variant,label,UR_RMSE_pp,UR_sd_pp,Delta_vs_Full_pp,UR_Corr,UR_Bias_pp,LFPR_RMSE_pp,EPOP_RMSE_pp,interpretation
V_Full,Full heterogeneous ABM,2.974,0.0235,0.0,0.759,-2.2801,4.5677,5.9285,(reference)
V_NoSearch,No Search Friction ABM,3.4459,0.0201,0.4719,0.826,-3.0459,4.9883,6.7792,substantial degradation
V_NoLiquidity,No Liquidity Fragility ABM,2.6395,0.0334,-0.3344,0.766,-1.855,2.9389,4.1729,improves on Full
V_NoHousing,No Housing Mobility ABM,2.9224,0.0216,-0.0516,0.728,-2.1298,4.0559,5.3746,improves on Full
V_NoSLH,No Search-Liquidity-Housing ABM,2.8918,0.0344,-0.0822,0.848,-2.4711,7.3873,8.6571,improves on Full
V_NoConsumption,No Consumption Rule ABM,2.7945,0.0336,-0.1795,0.752,-2.0226,3.5631,4.8481,improves on Full
V_SearchOnly,Search-only heterogeneity ABM,2.8055,0.0256,-0.1685,0.752,-2.0473,3.625,4.9155,improves on Full
