window,period,V_Full_RMSE_pp,V_Full_sd_pp,V_NoSearch_RMSE_pp,V_NoSearch_sd_pp,V_NoLiquidity_RMSE_pp,V_NoLiquidity_sd_pp,V_NoHousing_RMSE_pp,V_NoHousing_sd_pp,V_NoSLH_RMSE_pp,V_NoSLH_sd_pp,V_NoConsumption_RMSE_pp,V_NoConsumption_sd_pp,V_SearchOnly_RMSE_pp,V_SearchOnly_sd_pp
pre_covid_stable,2018-01..2019-12,0.6092,0.0504,0.2843,0.0147,1.0362,0.0647,0.8179,0.0409,0.4764,0.0497,0.8829,0.0439,0.867,0.0302
covid_crisis_mar,2020-03..2021-12,2.974,0.0235,3.4459,0.0201,2.6395,0.0334,2.9224,0.0216,2.8918,0.0344,2.7945,0.0336,2.8055,0.0256
post_covid_norm,2022-01..2026-02,0.2731,0.0233,1.0854,0.0107,0.3776,0.0453,0.2369,0.0163,0.7025,0.0147,0.2481,0.0251,0.3098,0.0241
full_post_2018,2018-01..2026-02,1.4674,0.0137,1.819,0.0064,1.3988,0.0082,1.4687,0.0121,1.4883,0.0147,1.4231,0.0119,1.4311,0.0143
train,2004-01..2017-12,1.2575,0.0292,1.9693,0.0319,1.2653,0.0208,1.5909,0.0214,1.2057,0.0205,1.2951,0.0309,1.4836,0.02
