Loading target data...

=== V_NoSearch  flatten=['search']  n_draws=100  total_sims=300 ===
  [resume] reusing existing samples
  [resume] 300 seed-rows done
  V_NoSearch [ 79/100] mean=0.5047 std=0.0034  elapsed=0.0min
  V_NoSearch [ 80/100] mean=0.5474 std=0.0042  elapsed=0.0min
  V_NoSearch [ 81/100] mean=1.6457 std=0.0043  elapsed=0.0min
  V_NoSearch [ 82/100] mean=0.3480 std=0.0031  elapsed=0.0min
  V_NoSearch [ 83/100] mean=0.8976 std=0.0045  elapsed=0.0min
  V_NoSearch [ 84/100] mean=0.5119 std=0.0036  elapsed=0.0min
  V_NoSearch [ 85/100] mean=0.4618 std=0.0049  elapsed=0.0min
  V_NoSearch [ 86/100] mean=0.3360 std=0.0041  elapsed=0.0min
  V_NoSearch [ 87/100] mean=0.2624 std=0.0053  elapsed=0.0min
  V_NoSearch [ 88/100] mean=0.6242 std=0.0035  elapsed=0.0min
  V_NoSearch [ 89/100] mean=0.6586 std=0.0096  elapsed=0.0min
  V_NoSearch [ 90/100] mean=0.3059 std=0.0041  elapsed=0.0min
  V_NoSearch [ 91/100] mean=0.3724 std=0.0019  elapsed=0.0min
  V_NoSearch [ 92/100] mean=0.4051 std=0.0037  elapsed=0.0min
  V_NoSearch [ 93/100] mean=0.3848 std=0.0029  elapsed=0.0min
  V_NoSearch [ 94/100] mean=0.3840 std=0.0026  elapsed=0.0min
  V_NoSearch [ 95/100] mean=0.2705 std=0.0008  elapsed=0.0min
  V_NoSearch [ 96/100] mean=1.8475 std=0.0117  elapsed=0.0min
  V_NoSearch [ 97/100] mean=0.3529 std=0.0021  elapsed=0.0min
  V_NoSearch [ 98/100] mean=0.5814 std=0.0032  elapsed=0.0min
  V_NoSearch [ 99/100] mean=0.4966 std=0.0073  elapsed=0.0min
  V_NoSearch [100/100] mean=0.2853 std=0.0067  elapsed=0.0min
  -> top1 mean train loss = 0.2621

=== V_NoLiquidity  flatten=['liquidity']  n_draws=100  total_sims=300 ===
  [resume] reusing existing samples
  [resume] 83 seed-rows done
  V_NoLiquidity [  1/100] mean=0.7755 std=0.0010  elapsed=0.0min
  V_NoLiquidity [  2/100] mean=0.5032 std=0.0021  elapsed=0.0min
  V_NoLiquidity [  3/100] mean=1.3602 std=0.0172  elapsed=0.0min
  V_NoLiquidity [  4/100] mean=0.6041 std=0.0055  elapsed=0.0min
  V_NoLiquidity [  5/100] mean=2.6195 std=0.0084  elapsed=0.0min
  V_NoLiquidity [  6/100] mean=0.5112 std=0.0017  elapsed=0.0min
  V_NoLiquidity [  7/100] mean=0.5807 std=0.0054  elapsed=0.0min
  V_NoLiquidity [  8/100] mean=0.6785 std=0.0103  elapsed=0.0min
  V_NoLiquidity [  9/100] mean=0.3979 std=0.0035  elapsed=0.0min
  V_NoLiquidity [ 10/100] mean=0.5000 std=0.0023  elapsed=0.0min
  V_NoLiquidity [ 11/100] mean=2.1971 std=0.0059  elapsed=0.0min
  V_NoLiquidity [ 12/100] mean=0.4686 std=0.0023  elapsed=0.0min
  V_NoLiquidity [ 13/100] mean=0.4240 std=0.0103  elapsed=0.0min
  V_NoLiquidity [ 14/100] mean=0.5092 std=0.0038  elapsed=0.0min
  V_NoLiquidity [ 15/100] mean=1.1237 std=0.0243  elapsed=0.0min
  V_NoLiquidity [ 16/100] mean=0.4994 std=0.0036  elapsed=0.0min
  V_NoLiquidity [ 17/100] mean=1.3850 std=0.0158  elapsed=0.0min
  V_NoLiquidity [ 18/100] mean=1.2436 std=0.0137  elapsed=0.0min
  V_NoLiquidity [ 19/100] mean=1.7736 std=0.0128  elapsed=0.0min
  V_NoLiquidity [ 20/100] mean=0.3972 std=0.0036  elapsed=0.0min
  V_NoLiquidity [ 21/100] mean=1.6736 std=0.0188  elapsed=0.0min
  V_NoLiquidity [ 22/100] mean=2.3723 std=0.0104  elapsed=0.0min
  V_NoLiquidity [ 23/100] mean=0.3892 std=0.0042  elapsed=0.0min
  V_NoLiquidity [ 24/100] mean=0.6119 std=0.0007  elapsed=0.0min
  V_NoLiquidity [ 25/100] mean=0.7287 std=0.0071  elapsed=0.0min
  V_NoLiquidity [ 26/100] mean=2.0139 std=0.0104  elapsed=0.0min
  V_NoLiquidity [ 27/100] mean=2.0938 std=0.0043  elapsed=0.0min
  V_NoLiquidity [ 28/100] mean=0.5865 std=0.0107  elapsed=0.2min
  V_NoLiquidity [ 29/100] mean=0.6828 std=0.0070  elapsed=0.6min
  V_NoLiquidity [ 30/100] mean=0.5910 std=0.0097  elapsed=1.0min
  V_NoLiquidity [ 31/100] mean=0.4901 std=0.0035  elapsed=1.5min
  V_NoLiquidity [ 32/100] mean=0.4584 std=0.0016  elapsed=1.9min
  V_NoLiquidity [ 33/100] mean=0.4649 std=0.0060  elapsed=2.4min
  V_NoLiquidity [ 34/100] mean=0.5406 std=0.0106  elapsed=2.8min
  V_NoLiquidity [ 35/100] mean=0.6662 std=0.0060  elapsed=3.2min
  V_NoLiquidity [ 36/100] mean=1.1610 std=0.0139  elapsed=3.7min
  V_NoLiquidity [ 37/100] mean=1.3715 std=0.0029  elapsed=4.1min
  V_NoLiquidity [ 38/100] mean=0.9593 std=0.0104  elapsed=4.6min
  V_NoLiquidity [ 39/100] mean=0.5047 std=0.0084  elapsed=5.0min
  V_NoLiquidity [ 40/100] mean=0.5251 std=0.0051  elapsed=5.4min
  V_NoLiquidity [ 41/100] mean=0.4748 std=0.0059  elapsed=5.9min
  V_NoLiquidity [ 42/100] mean=0.6182 std=0.0135  elapsed=6.3min
  V_NoLiquidity [ 43/100] mean=0.6373 std=0.0060  elapsed=6.7min
  V_NoLiquidity [ 44/100] mean=0.5489 std=0.0009  elapsed=7.2min
  V_NoLiquidity [ 45/100] mean=0.7501 std=0.0102  elapsed=7.6min
  V_NoLiquidity [ 46/100] mean=0.5818 std=0.0073  elapsed=8.0min
  V_NoLiquidity [ 47/100] mean=0.6841 std=0.0035  elapsed=8.5min
  V_NoLiquidity [ 48/100] mean=0.5214 std=0.0043  elapsed=8.9min
  V_NoLiquidity [ 49/100] mean=0.4075 std=0.0054  elapsed=9.4min
  V_NoLiquidity [ 50/100] mean=0.4334 std=0.0025  elapsed=9.8min
  V_NoLiquidity [ 51/100] mean=1.0914 std=0.0115  elapsed=10.2min
  V_NoLiquidity [ 52/100] mean=0.5546 std=0.0061  elapsed=10.7min
  V_NoLiquidity [ 53/100] mean=0.4852 std=0.0007  elapsed=11.1min
  V_NoLiquidity [ 54/100] mean=0.4700 std=0.0024  elapsed=11.6min
  V_NoLiquidity [ 55/100] mean=0.6071 std=0.0101  elapsed=12.0min
  V_NoLiquidity [ 56/100] mean=1.1482 std=0.0175  elapsed=12.4min
  V_NoLiquidity [ 57/100] mean=1.8473 std=0.0150  elapsed=12.9min
  V_NoLiquidity [ 58/100] mean=1.0765 std=0.0115  elapsed=13.3min
  V_NoLiquidity [ 59/100] mean=0.5034 std=0.0099  elapsed=13.8min
  V_NoLiquidity [ 60/100] mean=2.1144 std=0.0085  elapsed=14.2min
  V_NoLiquidity [ 61/100] mean=0.8339 std=0.0063  elapsed=14.6min
  V_NoLiquidity [ 62/100] mean=0.4943 std=0.0106  elapsed=15.0min
  V_NoLiquidity [ 63/100] mean=1.0441 std=0.0137  elapsed=15.5min
  V_NoLiquidity [ 64/100] mean=0.6385 std=0.0095  elapsed=15.9min
  V_NoLiquidity [ 65/100] mean=2.0951 std=0.0096  elapsed=16.3min
  V_NoLiquidity [ 66/100] mean=1.9275 std=0.0196  elapsed=16.8min
  V_NoLiquidity [ 67/100] mean=0.4281 std=0.0055  elapsed=17.2min
  V_NoLiquidity [ 68/100] mean=0.9076 std=0.0229  elapsed=17.6min
  V_NoLiquidity [ 69/100] mean=0.4713 std=0.0025  elapsed=18.1min
  V_NoLiquidity [ 70/100] mean=0.5493 std=0.0010  elapsed=18.5min
  V_NoLiquidity [ 71/100] mean=0.4912 std=0.0062  elapsed=18.9min
  V_NoLiquidity [ 72/100] mean=0.5902 std=0.0083  elapsed=19.3min
  V_NoLiquidity [ 73/100] mean=0.8167 std=0.0181  elapsed=19.8min
