model,1,3,6,12,24,36,log_log_slope,abs_change_pp
M0_Main,0.1925,0.1575,0.1383,0.1421,0.1219,0.1471,-0.0919,-0.0453
D1_Homogeneous,0.5097,0.4433,0.3614,0.2703,0.2183,0.1197,-0.3702,-0.3900
D2_Simplified,0.5246,0.4580,0.3786,0.2852,0.2171,0.1181,-0.3816,-0.4066
D3_LaborOnly,0.3840,0.3890,0.4012,0.4252,0.3810,0.3820,0.0009,-0.0020
B1_AR,0.1715,0.3561,0.6077,0.9712,1.3127,1.5002,0.6200,1.3287
B2_VAR,0.2103,0.3316,0.3727,0.3738,0.2516,0.2132,-0.0065,0.0029
B3_Beveridge,,0.3742,0.3881,0.4277,0.4678,0.4930,0.1155,
B4_DMP,0.5412,0.4996,0.4352,0.3556,0.3599,0.2434,-0.1991,-0.2978
