variant,label,UR_RMSE_pp,UR_sd_pp,Delta_vs_Full_pp,UR_Corr,UR_Bias_pp,LFPR_RMSE_pp,EPOP_RMSE_pp,interpretation
V_Full,Full heterogeneous ABM,0.2731,0.0233,0.0,0.764,-0.1669,4.8327,4.7566,(reference)
V_NoSearch,No Search Friction ABM,1.0854,0.0107,0.8123,0.78,-1.0518,5.6737,6.162,substantial degradation
V_NoLiquidity,No Liquidity Fragility ABM,0.3776,0.0453,0.1046,0.75,0.2665,2.8907,2.6054,mild degradation
V_NoHousing,No Housing Mobility ABM,0.2369,0.0163,-0.0362,0.735,0.0638,4.4446,4.2293,improves on Full
V_NoSLH,No Search-Liquidity-Housing ABM,0.7025,0.0147,0.4294,0.796,-0.6287,8.1705,8.2889,substantial degradation
V_NoConsumption,No Consumption Rule ABM,0.2481,0.0251,-0.0249,0.794,0.0996,3.5446,3.3415,improves on Full
V_SearchOnly,Search-only heterogeneity ABM,0.3098,0.0241,0.0367,0.728,0.1675,3.8917,3.6287,comparable to Full
