Variant,Active heterogeneity,Active mechanisms,Separately calibrated?,UR RMSE pp,UR RMSE SD pp,LFPR RMSE pp,EPOP RMSE pp,Train loss (top-1)
V_Simplified,None (all flattened),1 of 14 (matching_competition only),Yes,0.5616,0.0035,11.417,11.26,0.7606
V_LaborOnly,4 labour-side dimensions,11 of 14 (3 household-side OFF),Yes,0.3626,0.0342,2.7365,2.4715,0.1795
V_Homogeneous,None (all flattened),All 14 mechanisms ON,Yes,0.5448,0.0078,8.5708,8.5082,0.5236
V_Full,6 dimensions (full),All 14 mechanisms ON,Yes,0.2731,0.0233,4.8327,4.7566,0.1672
,,,,,,,,
Footnote,,,,"All UR RMSE values are over the main recent evaluation window (2022-01..2026-02, 49 valid months); 5-seed mean across {42, 137, 888, 1234, 2024}. V_Full RMSE 0.273 pp is the manuscript headline. Every variant is separately calibrated.",,,,
